MEdarkred	MEtan	MEblue	MEbrown	MEroyalblue	MEgreen	MEmidnightblue	MEpurple	MElightgreen	MEmagenta	MEblack	MElightyellow	MEgrey60	MEred	MEcyan	MEsalmon	MEdarkturquoise	MEturquoise	MEyellow	MEgreenyellow	MEdarkgreen	MElightcyan	MEdarkgrey	MEpink	MEgrey
HNL01	0.0269703761314464	0.208507974827049	0.285407163616192	0.175080005137879	0.0528021060280743	-0.275322594950077	-0.143364528663669	0.0568163396632678	0.028184968565656	-0.150294999595887	-0.302041773876619	-0.217703344063923	-0.366563827090372	-0.399460398909827	-0.124988999801409	-0.242632317190879	-0.116256825405404	-0.208909543058845	-0.129209010780712	0.104929597028837	0.12078022548572	0.217163420903861	0.0816455601669313	0.171740059477458	-0.0326400820294679
HNL02	-0.0185734207220452	0.180738973810015	0.245249166160863	0.122604282777212	0.0357687858947288	-0.234857165371547	-0.159314303353752	0.00333713370759015	0.0294906139335392	-0.0884367733350925	-0.178341165303251	-0.0629055640962376	-0.274210059433587	-0.22477954834764	-0.0602171999102324	-0.126976927769209	-0.165303183336708	-0.209643117517095	-0.144297648179901	0.0720683061586144	0.185873524256828	0.176868109391763	0.0994707578480291	0.160717708060177	-0.0855947001508269
HNL03	-0.0950650959405661	0.0703365795152042	0.203467696280761	0.0992691392149511	0.0265178799079343	-0.244849296459125	-0.182946355933259	-0.060418614801323	0.0283750353756616	-0.0836996153482344	-0.143663710903581	-0.0286651854874949	-0.243362546869771	-0.207494781533052	-0.0839039210200559	-0.128683296685593	-0.20344662878028	-0.140596818918455	-0.115471459188872	0.0544369026037432	0.181254795347115	0.196591662983432	0.08765607046492	0.168492949292718	-0.0947425408964168
HNL04	0.136883650464739	0.131526571346243	0.207624476544881	0.208820678132819	-0.00876475007513713	-0.117089672609628	-0.0576205239526888	0.0762635913209223	0.163100965694546	0.0806497134124519	-0.0532661675006065	0.0602970131610075	-0.223375764609878	-0.196029837548419	-0.0197736502018457	-0.108248792415612	-0.0773925699699806	-0.207852655430794	-0.129562256686991	0.0469744305982292	-0.396804916044475	0.122776087611764	0.14965836511468	0.050828112019384	-0.229284697893929
HNL05	0.466174377586602	0.516381693911409	0.308498133586811	0.205447759686758	-0.0639042054662191	-0.111861429281179	0.020413106999616	0.274805266907161	0.188491776113515	0.163043897651438	-0.190965543025198	0.00800772246258062	-0.203680329517175	-0.212284245882069	-0.555413008188125	-0.730510643856391	0.150530062022101	-0.162696531542995	-0.038729585571052	-0.791115980306632	-0.544183254080219	-0.599899191842452	0.26784564973023	-0.601927143038697	-0.00905239244083335
HNL06	0.123030422553556	0.177940331849535	0.239102288328772	0.204819712189223	0.0145369097174387	-0.153587737086018	-0.0512052865948079	0.100405829632632	0.119377453505068	-0.0161321447068222	-0.159770551757555	-0.0581765846331793	-0.242400427552558	-0.287382012926441	-0.16231155923404	-0.141259410222887	-0.105671644749414	-0.208891935101026	-0.131739599035151	0.0863214844288802	-0.250781878292637	0.180742263693621	0.149199616377807	0.115233030688205	-0.136654293833773
HNL08	-0.0478343827512365	-0.0266963914227473	0.204442527844745	0.170790851105902	0.0636099635477458	-0.212227691456342	-0.155410107998455	-0.00708365330733103	-0.0110093526193075	-0.141083355349503	-0.15833015555978	-0.102454658211596	-0.136174397972871	-0.221475894144341	-0.0390760616558514	-0.118095234513186	-0.139589011193153	-0.174244581600148	-0.176270128591898	0.0897557037259107	0.156876358964157	0.227405175868914	0.113043208049557	0.214004408163858	-0.131976084077267
HNL09	-0.0749016280718246	-0.01643797826449	0.19962262084631	0.118447573761826	0.0362207571326501	-0.30393301562614	-0.201023013909835	-0.0491462457489475	-0.122409077463045	-0.24458918917405	-0.313256399748273	-0.239349501384897	-0.208065925942829	-0.333553958310576	-0.109228125742045	-0.187082079688615	-0.118973261074302	-0.0824727965166793	-0.0758986385413089	0.0317498737720464	0.16198863013787	0.234259969077198	0.0372781581032187	0.181733155521575	-0.118397261488868
HNL10	-0.109588952920024	-0.0841252272838705	0.134379954523882	0.131503533317298	0.0913844936539464	-0.0925926283184654	-0.0789148301754033	0.00743325460194797	0.0237080738671032	-0.0454851993523656	-0.0185454173019421	-0.00475042272033384	-0.124840706786453	-0.0725081806205083	0.0116052239921284	-0.0165627754375933	-0.230957464827438	-0.133820046725737	-0.148539214897618	0.0951895959437554	0.137094031520999	0.155812393531352	0.0879644868231822	0.173429861809742	-0.169994876994989
HNL11	-0.0555008161628109	-0.0499180087178138	0.146904989588079	0.165125329863159	0.0855377876395331	-0.0589404873011095	-0.0359682031753181	0.0386383271873044	0.0915683037925962	0.0166657009294521	0.00426681087522773	0.035676341944919	-0.113545368789768	-0.0486288382314475	0.0222400259536389	-0.00132610899493092	-0.229602604762276	-0.187742772030607	-0.204107772238837	0.108323374248862	0.115959631351043	0.15480428940837	0.114420036942439	0.171841633113906	-0.0827991041841496
HNL12	0.236478150955505	0.233101125538359	0.247364971882867	0.172163199724113	-0.0750785919101315	-0.0428529539288655	0.0576574778958611	0.216277471514718	-0.0485727607197018	-0.132679198161552	-0.40677501826238	-0.707907054687096	-0.301878829928	-0.134974195447452	-0.59523497613879	0.0368949546801327	-0.0819991551267066	-0.175462474299354	-0.107728616350304	0.247049596315072	0.425874407002093	0.269931935618108	-0.787951280117954	-0.592963646601493	0.85198228099794
PSVD01	-0.136258596777078	-0.225198074154378	-0.141068375348974	-0.080941237326539	-0.0916705990645949	0.168828623850828	0.071991028421912	-0.0846948585620713	0.130142887952716	0.203697412519066	0.160504401985773	0.140929698534963	0.197457440245229	0.162062882818458	0.125191636769871	0.114563192632176	-0.0906407369867599	0.115308762370026	0.0646251319740432	-0.03941638618634	0.00583128707658044	-0.0793694133975807	-0.0456982562721945	0.00721894350088792	0.00931130870973412
PSVD02	0.00291922511040272	-0.157223325983109	-0.163452798916907	-0.000672318543598636	0.179345424746693	0.256299044289306	0.266505011509737	0.178551645060245	0.0870124795838892	0.190815207793239	0.208660093924879	0.151262653411339	0.123361928680437	0.193787011272098	0.185763802078638	0.186307273830352	0.0126370687836131	0.0484085068748485	-0.025266986571174	0.119893762638499	-0.0106001117253072	-0.106417377018282	0.0762455388199756	-0.0018412533696767	-0.0207971667622529
PSVD03	0.28339300781189	0.114945000696123	-0.0156751518923188	0.16908281966697	0.0537756359373872	0.257374785268868	0.288968072346369	0.225413509074815	0.345278062816911	0.329217482268234	0.198251267349127	0.182570249057236	0.0962175762004831	0.19198294719902	0.153424499869267	0.124846964149723	0.102439320260252	-0.16835884699179	-0.123864345466352	0.0719663964392443	-0.238139344621456	-0.253481702780825	0.0918841617072413	-0.130304064712404	-0.00603953379333555
PSVD04	-0.178435059520405	-0.135274153575629	-0.136150685410227	-0.334979553834603	-0.772243558490595	-0.145510496428431	-0.143463435438207	-0.247942041388949	-0.393869127262129	-0.381982990532288	-0.337345778967102	-0.339172865976693	0.21707092580441	0.167625816609646	0.0164392076602874	-0.0192139975899803	0.0632461714310645	0.297878545344178	0.331232074308762	-0.133243583848429	0.0642585338807874	0.0880907663059088	-0.241688579574239	0.00289616665989204	0.0965546176940872
PSVD06	0.287305696959219	0.029390707269881	-0.137683083120097	0.123368780522111	0.161805835373813	0.305577951207315	0.407893260398517	0.316366324272338	0.165139327816394	0.252404909964542	0.177915575496053	0.0935599841288406	0.104807785296055	0.243044459111986	0.179365164500692	0.195993248639871	0.257695270668202	-0.129740276709856	-0.111200943038838	0.151943285716495	-0.100056496363577	-0.193057488548082	0.120489381786337	-0.0622748035658709	0.100758749486559
PSVD07	-0.234881217666478	-0.235712848371036	-0.185784037803297	-0.202649508985237	0.0648830521338248	0.0896225918013834	-0.0393100216958038	-0.162656291160442	-0.147432973959669	-0.0648106285073064	0.147080163671445	0.0978951960712039	0.185913784696041	0.12814847258333	0.110885558826392	0.128131583127561	-0.0109158368214422	0.228463096757613	0.184950310300542	-0.0414828171460511	0.0358914793858308	-0.0311571895772584	-0.0613280079242125	0.021353919968676	-0.0417922910784764
PSVD08	-0.20703852252642	-0.247770373799532	-0.209337571030416	-0.0797667960132493	0.19270422352646	0.226249804605806	0.248844872799161	0.108922029814045	-0.0168555842878371	0.108989988520199	0.173144847192278	0.115031977105136	0.109337938334707	0.161487083228993	0.175578418973221	0.181944732369441	-0.100595241049328	0.142336720042343	0.254778119866781	0.103079182879864	-0.0343644178533013	-0.131214360150751	0.0512937740506209	0.00576534834330339	0.0683043441964779
PSVD09	0.14163178730978	-0.0458044821151092	-0.019247379406097	0.197262301443011	0.0768628856930771	0.263798238014641	0.315030176581498	0.252835555591712	0.250325595196665	0.275302570924628	0.174847725442863	0.138154025356814	0.0976961121499516	0.167758154374013	0.163113787086616	0.152205325721489	-0.153165339768397	-0.179458076902734	-0.163406133626045	0.152260884240764	-0.124633391778996	-0.134145712019054	0.108599319359221	-0.0320271285525077	0.271759151219055
PSVD10	-0.263570103132923	-0.242442412062228	-0.181247183397612	-0.169691245351063	0.144980043491044	0.131827198946996	0.0851993662288843	-0.0341609815069405	-0.132479408816891	-0.037496813460881	0.148385081987127	0.0927404326552878	0.152447525118752	0.138529801710736	0.151381573472873	0.156488964664396	-0.101280585771255	0.186252225447987	0.111363325329581	0.0503279604831506	0.0621780625991887	-0.0136486900779005	0.00418735300920628	0.0466809297717817	-0.0449611975607048
PSVD11	0.0545481672682901	-0.0426406676829822	-0.0727198086325489	0.00432932660995114	-0.00263848792579513	0.200199926187684	0.153340470605686	0.0560311388609157	0.251329230788447	0.281449660528905	0.204287856569764	0.188860750777838	0.161502871609899	0.149913798800884	0.121294892075021	0.121388937217602	-0.0420806766506675	0.0157169847968143	-0.120932857021918	-0.0236798702594822	-0.0956985583858521	-0.176800705958891	0.0168923407103081	-0.0448874772683111	-0.0310218003849534
PSVD12	-0.340006546185846	-0.241826570962364	-0.237948633133927	-0.35317368337921	-0.0286140103049818	-0.0967277182426562	-0.163998900067521	-0.252564874206928	-0.446593489693617	-0.369653309665951	0.00205805996492003	-0.10365889919049	0.173247948157411	0.0973199928611488	0.0528172604252134	0.0565663438499738	-0.00597574190727265	0.350350206561429	0.483247155383128	-0.089911249287205	0.101992956392987	-0.00535101590017156	-0.147358908571	0.0341051595211393	0.0147061937846045
PSVD13	-0.177772116664035	-0.182633732739847	-0.224575087844433	-0.227849420467889	0.0706915355510446	0.117035293485961	0.0265968879984239	-0.110374587408672	-0.163762984860859	-0.0461291122898724	0.162311099249464	0.118115088610811	0.15066910559013	0.175105057325503	0.126855621557972	0.14346249462241	0.0818270091390138	0.2288103088226	0.259152396314322	-0.0112336053556639	0.0428560396804284	-0.0639621077810875	-0.0211778130951733	0.013676268349556	-0.020450094717677
PSVD14	-0.0133687200213823	0.133027581239299	-0.246759288213218	-0.388139762627342	-0.146047636641488	-0.0622807484091691	-0.289949496854828	-0.452606247882708	-0.353282969856816	-0.218514417383	0.12468498864833	0.0626548308097446	0.174523377322392	0.108329646084946	-0.00670881132643796	0.0522710790357877	0.470697911961193	0.293940156483924	0.409066504783032	-0.226777086964904	0.0348119396299917	-0.0917190291236648	-0.215274609887803	-0.0385224689951417	0.0103009958483621
PSVD15	-0.00263132497278439	0.0486068435976557	-0.115091981206992	-0.289303523547552	-0.399387439025289	-0.226846204292581	-0.362528184587149	-0.411232026168698	-0.165597655406938	-0.150549145520425	0.0305940877075392	0.0868514644532688	0.237344602916984	-0.0200661514349367	-0.0380366680019293	-0.0973345647284743	0.317392651250777	0.3078336599393	-0.177506335640286	-0.24567637032702	0.0681678270817808	0.0895803989357737	-0.110093673145235	0.0379241393811038	-0.111156826005076
PSVD16	0.309422451262891	0.304489073520513	-0.152511667292059	-0.0883435252467972	0.0313053967834117	0.145506015545589	-0.0937306392945106	-0.164899821801914	0.149361854775256	0.223291165675173	0.169354302680597	0.199244529998829	0.116604408010549	0.087857846332464	0.00886424421787773	0.0749744735959707	0.517206005330131	0.0564562933434045	-0.0439565792762096	-0.121710947322931	-0.128321674432554	-0.167734024939481	-0.0994207189835941	-0.121621303173033	-0.0399619058552571
PSVD18	-0.113330809378463	-0.215288209986151	-0.182811256555037	-0.052604717830105	0.205616562145425	0.217160366556956	0.216308099909542	0.125682826735308	-0.049021244831154	0.0460091821959024	0.175955319460901	0.0928921219121212	0.139894854359832	0.185685073023486	0.190072063761051	0.191886580956465	0.000175037334439319	0.0981350065616476	0.069273092443279	0.137977559782693	0.0218943137849735	-0.0660684642145819	0.0722180685074988	0.0487274956337718	-0.0163607917885659
