Gene.Symbol	moduleColor	GS.diagnosis	p.GS.diagnosis
1	1	darkturquoise	0.421988657592396	0.0283413439274899
29974	29974	lightyellow	0.139918573231122	0.486383914590986
54715	54715	turquoise	0.145622157423939	0.468607096439567
87769	87769	green	0.45613140821819	0.0167877294038427
2	2	black	0.823031304562004	1.36292540732122e-07
144568	144568	turquoise	0.786645261440992	1.14201757174743e-06
127550	127550	turquoise	0.430331531712282	0.0250525072230799
51146	51146	blue	-0.601702168053035	0.000899813233591357
404744	404744	yellow	0.625371907041855	0.000486471428395124
8086	8086	pink	0.230877132321924	0.246601794402474
65985	65985	yellow	0.0656481856815558	0.744932924258516
13	13	blue	-0.614734287411147	0.000645230613049324
57552	57552	blue	-0.787467254358672	1.09347792647938e-06
344752	344752	turquoise	0.214849616915577	0.281839819403217
51166	51166	brown	-0.420596782643497	0.0289225236392166
79719	79719	lightgreen	-0.169393618865997	0.398292650565445
22848	22848	blue	-0.190288556625881	0.341753288751842
14	14	blue	-0.771372897861073	2.4772001046643e-06
16	16	red	0.655409995222572	0.000206715395712936
57505	57505	salmon	0.355693627064886	0.0686290327463291
80755	80755	turquoise	0.0810329520180837	0.68783308546513
132949	132949	cyan	0.506959081971257	0.00695953743984652
10157	10157	brown	-0.748187489686161	7.2200510404163e-06
26574	26574	pink	0.0938520100066233	0.641484993243848
9625	9625	turquoise	-0.11404338299244	0.571122159030181
18	18	royalblue	-0.50118187161472	0.00774353508785609
19	19	black	0.782026700651414	1.45265280599155e-06
10349	10349	blue	-0.337117072670207	0.0855103768684282
26154	26154	turquoise	0.298349106286729	0.130641245933873
20	20	turquoise	0.289469663399464	0.143051448267359
21	21	lightgreen	-0.188833577225998	0.345526019907302
24	24	black	0.389812243133548	0.0444322865767184
23461	23461	lightcyan	-0.336901228378445	0.0857234805203231
23460	23460	brown	-0.598621962947643	0.000971389049970427
10347	10347	darkturquoise	0.492124769812876	0.009121349087946
10351	10351	black	0.797146968118919	6.46158554118731e-07
10350	10350	blue	-0.793949354758588	7.71145629447894e-07
5243	5243	salmon	0.170076295440625	0.396366094052482
23456	23456	darkgrey	-0.188517253147376	0.34634952551496
8647	8647	pink	-0.307275343205296	0.118974739144473
5244	5244	greenyellow	-0.0504150469972429	0.802798439919975
10058	10058	black	0.581851799135959	0.00145431269059932
22	22	lightgreen	-0.477412451754084	0.0117943146217708
11194	11194	turquoise	-0.0677539332867391	0.737031540522511
23457	23457	black	0.46320797018867	0.0149637375106653
4363	4363	turquoise	-0.330591473454551	0.0921327557301376
89845	89845	brown	-0.217954169301285	0.274776192436031
85320	85320	turquoise	0.386909764511845	0.0461814108808541
150000	150000	turquoise	0.567113203121026	0.00203764952276452
1244	1244	brown	-0.658717827778219	0.000187055338025982
8714	8714	magenta	0.0138989339913696	0.945143481662933
10057	10057	grey60	0.825959672601498	1.12516642402778e-07
368	368	blue	-0.949513851832935	4.29654178607384e-14
653190	653190	blue	-0.787964861215875	1.06500421594877e-06
730013	730013	blue	-0.729788467806604	1.56118923956315e-05
6833	6833	turquoise	0.111590020373649	0.579484995111631
10060	10060	blue	-0.816063787389932	2.12145857409103e-07
215	215	blue	-0.325712564314888	0.0973312105979537
5825	5825	blue	-0.802288892197265	4.83028155378944e-07
5826	5826	darkgreen	-0.247753797359544	0.212769316876492
6059	6059	brown	-0.579450228423347	0.00153812967272705
23	23	lightyellow	0.217167175427838	0.276555964536887
10061	10061	turquoise	0.557935101254207	0.00249447223987515
55324	55324	grey60	0.489817801319942	0.00950334563891294
9619	9619	turquoise	0.0677794287102811	0.73693603206193
9429	9429	blue	-0.649357619080157	0.000247435249260062
64137	64137	red	0.561933700914587	0.00228567119651411
64240	64240	magenta	0.121959346503646	0.544513603814556
64241	64241	blue	-0.811896042265122	2.74024739782922e-07
55347	55347	royalblue	-0.331291298489505	0.0914046009222624
83451	83451	lightcyan	-0.304097146190034	0.123037229771755
26090	26090	salmon	0.370594489305645	0.0570488148807618
145447	145447	turquoise	0.640963958595915	0.000315509144729694
25864	25864	midnightblue	0.267106929222752	0.178020154367519
84836	84836	greenyellow	0.0558257423306664	0.782111469115936
116236	116236	greenyellow	-0.0129498912688971	0.94888418720315
11057	11057	blue	-0.893360588700363	3.61413801748006e-10
171586	171586	turquoise	0.262218045905103	0.186397178995215
63874	63874	greenyellow	-0.205598411841731	0.303567678879996
51099	51099	darkgrey	-0.0275970900123915	0.891316190948224
57406	57406	pink	-0.343283212982416	0.0795906106566915
253152	253152	blue	-0.488700437716182	0.00969311751600209
79575	79575	lightgreen	-0.0792071147006695	0.694529860988815
79852	79852	turquoise	0.5066962449185	0.00699369379112836
10006	10006	blue	-0.264148633207696	0.183057108268994
10152	10152	blue	-0.765801427119197	3.23861738216545e-06
51225	51225	brown	-0.475527351032786	0.0121796373574581
25890	25890	green	0.539142556547137	0.00370920238349839
25	25	red	0.305551017928174	0.121166408338321
27	27	turquoise	0.302115728973824	0.125620852979974
3983	3983	greenyellow	0.29081378763601	0.141120312701172
84448	84448	turquoise	0.376594214556329	0.0528419903916537
22885	22885	black	0.403874294722582	0.03668681337966
28	28	greenyellow	0.0180691868746587	0.928720678511023
26	26	blue	-0.229848484035222	0.248772028273962
29	29	blue	-0.132919867318454	0.508655503972268
29777	29777	darkred	-0.036726192238069	0.855688009303931
80325	80325	red	0.269931005902915	0.173302811753457
