Diagnosis	Sex	Associated.disease	Esophageal.varices	HVPG	WHVP	Platelet.count	Total.bilirubin	Direct.bilirubin.at.diagnosis	Spleen.size	Liver.elastography	Associated.condition	No.associated.condition	Hematological.associated.condition	Associated.condition.HIV	Known.medication	PHT.specific.portal	PHT.specific.porto	PHT.specific.esophageal	PHT.specific	PHT.not.specific	PHT.not.specific.ascites	PHT.not.specific.platelets	PHT.not.specific.spleen	PSVD.specific	PSVD.specific.obliterative	PSVD.specific.nodular	PSVD.specific.incomplete	PSVD.non.specific	PSVD.non.specific.portaltract	PSVD.non.specific.architectural.in.portal	PSVD.non.specific.non.zonal	PSVD.non.specific.mild	Good.vs.poor.outcome.at.5.years	Decompenstation.at.biopsy
MEgrey60	1.06782191386996e-14	0.0639946902914589	0.288753025219108	0.0255712793403393	0.00103492448876458	1.41471615039241e-05	0.237927000887345	0.436093565744546	0.705187328496854	4.92849252547077e-07	0.0505194651230216	0.00550352762229816	0.0303292385037504	0.0447215626998635	0.403180834659677	0.403180834659677	0.129591469886015	0.000347353035527095	1.33118070716867e-10	1.33118070716867e-10	2.7711089351933e-06	0.00651425877659012	0.00552046735909193	0.00659858320549832	7.05483399032569e-06	0.0332231449323399	0.0229442022135153	0.111700018743611	1.05296109750529e-05	0.030151571655551	0.0135983359456689	0.003084702980472	0.0479089077573425	0.00825745665414024	0.0119068863278743
MEred	2.08761506587608e-11	0.164878443260713	0.333881482103103	0.191095596644666	0.00447385677778969	0.000152377085136066	0.434932627184927	0.294936028576154	0.792731759413983	2.34175834147004e-07	0.0675807940557152	0.0196354519984652	0.0154995919297302	0.263332703818925	0.102553531336707	0.102553531336707	0.222015505205416	0.00246569172046505	3.37639692873329e-08	3.37639692873329e-08	6.75071025398698e-05	0.0668078211634986	0.00151423916602595	0.00248087906623436	0.000173405418421695	0.153361989988101	0.0165737026390882	0.163657578404295	3.75396244971262e-05	0.0806617734843103	0.104201202779153	0.0105383481909502	0.149630097140601	0.00871826984577672	0.0458458209544878
MEblack	6.02677495412527e-06	0.0311462501239612	0.197946760704923	0.0953720054426592	0.00591406143163923	0.000140942591940486	0.280792651330962	0.217232384118584	0.475029067589183	0.000286762891742121	0.685063828001302	0.0322589583813464	0.00403914029629812	0.181819422999573	0.150995187314957	0.150995187314957	0.13897753834159	0.0389547627904757	0.000105895095559394	0.000105895095559394	0.00282915798735647	0.0487121204330388	0.01877468167404	0.0235342141224399	0.0112822080413972	0.176945786331258	0.250630004278405	0.110399833695393	2.02291138427789e-05	0.0806684902587593	0.0385861450734143	0.00969022165790321	0.212052499525774	0.00604020152018121	0.039241773811858
MEturquoise	9.75804357691639e-06	0.0489195883442889	0.986505654242918	0.0244862492887031	0.01104504675208	0.000856534427211577	0.641487530208094	0.621317711207397	0.699906401168128	0.00756764687781047	0.156773007427239	0.00356426963891815	0.605097959278211	0.01439061044714	0.767134637744745	0.767134637744745	0.123576301779918	0.00222057748863724	0.000102670584368961	0.000102670584368961	0.000877512545941954	0.00249546066588646	0.292960780395051	0.152633601011623	0.000646085683735713	0.0762605948745621	0.0369916232741808	0.331500067170013	0.00189790000678727	0.125577652597025	0.0228621520820302	0.000805473568351561	0.0118917996114978	0.0318351940285081	0.0451238787576421
MEgreen	1.97582114150239e-05	0.638283979637805	0.386839815421985	0.550787130188574	0.0207285132739953	0.00270412204894378	0.543702825863231	0.2110889862262	0.784221577747597	1.19220854008523e-05	0.416973724029985	0.175925909537084	0.00177155307926326	0.776127438114981	0.0323153955352943	0.0323153955352943	0.410285289614675	0.0510771265687729	0.000451170646259356	0.000451170646259356	0.00603389278718222	0.378460552132926	0.000653604235513023	0.00544398354377876	0.0182697594366776	0.464928895988508	0.116815730552297	0.119689746608374	0.000784962485974958	0.365500127259141	0.187380925787438	0.0978601728946535	0.428191878640745	0.0163742693734891	0.132235440277209
MEsalmon	6.57191404120238e-05	0.142345672262635	0.412515693311756	0.406104354228664	0.0437572027197445	0.00517885137161517	0.749616967376146	0.553606177524257	0.899203789420991	0.000808522264852447	0.483803996895428	0.0972439076700275	0.0303973602429086	0.49810246423594	0.155763029983143	0.155763029983143	0.311867777001016	0.0346489923502909	0.000676494142774791	0.000676494142774791	0.00798263599035144	0.200402531762131	0.019584602046264	0.0287568439042299	0.0153720383363011	0.394309706976512	0.0867285004634471	0.227261037249389	0.00207249106568935	0.270589200017785	0.189090010652077	0.0454509954468002	0.21440806130287	0.026755691280827	0.118826633967257
MEcyan	0.000122769033567327	0.0800733236149359	0.139280725835236	0.491124959424802	0.0655375466108682	0.0164863911663394	0.106421190784581	0.38666295320171	0.602431432292446	0.000697111055914482	0.290466687235187	0.108636893772831	0.0415401019127929	0.49023266007106	0.175993180804041	0.175993180804041	0.416964295837955	0.0572991535329715	0.00101801610004896	0.00101801610004896	0.00785454382073957	0.253845954801773	0.0186586447717586	0.0410707272723379	0.0147220500834203	0.417744930908895	0.076405552677886	0.220702804294589	0.00405245527462197	0.235454163170971	0.205064536969201	0.0815099753629234	0.230880250447659	0.0703269284375713	0.138906325077472
MEyellow	0.00302389853833871	0.394390994524816	0.303871899614339	0.427439825989013	0.107547625666806	0.0274154417123805	0.628863755987307	0.682472166964477	0.456031567884132	0.0589949769986285	0.0511974987225914	0.0204897358174621	0.850662986275085	0.130468548670199	0.618704975575756	0.618704975575756	0.218759516698128	0.00937980654626518	0.0202930777358573	0.0202930777358573	0.0329121114398326	0.0805003138257878	0.563897016175959	0.196007480292303	0.0660878563191333	0.596584232221594	0.0472427868800792	0.867414587739347	0.0243794601996283	0.352379026395142	0.793401327368528	0.0126192982210946	0.0164675394452031	0.0774526131661744	0.646857614214042
MEdarkturquoise	0.00581276943627065	0.241179593864809	0.335182008355479	0.000896090030148172	0.0265995455429616	0.00694410209224852	0.470900125478591	0.0114753621506746	0.0754333609537974	0.0467394513459634	0.124512289053679	0.0432172520550125	0.495031888848568	0.0999396890890124	0.320547820750278	0.320547820750278	0.316094728747274	0.185179072473284	0.00297800468185514	0.00297800468185514	0.0496936392652928	0.00392098265779648	0.674016131833599	0.11072275405171	0.0284187617377138	0.00893300049724408	0.755961429843121	0.475814985272773	0.00795876074146091	0.0785369742411458	0.130709578789103	0.0011477630982907	0.574258150069935	0.012817831613471	0.0317270420158095
MElightyellow	0.00584474284277995	0.0532939137323047	0.167378136818523	0.144273065344628	0.0452077724366305	0.00926069839401954	0.10662689028014	0.143462950651521	0.207477330320882	0.0207548285895398	0.850981243846232	0.194519024283502	0.0230706163651968	0.270951043904808	0.369213152065699	0.369213152065699	0.291195637106639	0.207320045849667	0.0143188711895108	0.0143188711895108	0.0452858408235082	0.162283135451823	0.0691911488295693	0.10024168625285	0.0932516699574158	0.301262923280905	0.573202567785965	0.192509484105879	0.00448636157306825	0.228477600116467	0.0684216861258804	0.0895940752122302	0.539518211142964	0.0639014466194619	0.148619053668136
