id	not-changed	up-sig	down-sig	total	description	source	logFC	AveExpr	t	P.Value	adj.P.Val	B	condition	names	entrez_id	NES_score_condition	NES_score	setSize	description_new
GO:0006082	GO:0006082	536	120	219	875	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	GO:BP										negative	-1.49363544755817	875	 organic acid metabolic process
GO:0006091	GO:0006091	269	58	104	431	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	GO:BP										negative	-1.43911539313336	431	 generation of precursor metabolites and energy
GO:0006631	GO:0006631	212	46	95	353	GOBP_FATTY_ACID_METABOLIC_PROCESS	GO:BP										negative	-1.48169919770124	353	 fatty acid metabolic process
GO:0006888	GO:0006888	73	10	35	118	GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	GO:BP										negative	-1.69765160516045	118	 endoplasmic reticulum to golgi vesicle mediated transport
GO:0006890	GO:0006890	27	1	20	48	GOBP_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM	GO:BP										negative	-1.80544041538819	48	 retrograde vesicle mediated transport golgi to endoplasmic reticulum
GO:0007186	GO:0007186	578	256	78	912	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO:BP										positive	1.34472637132692	912	 g protein coupled receptor signaling pathway
GO:0007600	GO:0007600	426	225	46	697	GOBP_SENSORY_PERCEPTION	GO:BP										positive	1.57249311083684	697	 sensory perception
GO:0007606	GO:0007606	199	117	10	326	GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO:BP										positive	1.90924524490879	326	 sensory perception of chemical stimulus
GO:0007608	GO:0007608	167	99	6	272	GOBP_SENSORY_PERCEPTION_OF_SMELL	GO:BP										positive	1.95612262138907	272	 sensory perception of smell
GO:0008610	GO:0008610	396	84	138	618	GOBP_LIPID_BIOSYNTHETIC_PROCESS	GO:BP										negative	-1.39809480239228	618	 lipid biosynthetic process
GO:0016054	GO:0016054	140	24	64	228	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GO:BP										negative	-1.52022010966623	228	 organic acid catabolic process
GO:0019637	GO:0019637	537	118	181	836	GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS	GO:BP										negative	-1.37370030442635	836	 organophosphate metabolic process
GO:0019693	GO:0019693	235	43	81	359	GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS	GO:BP										negative	-1.46860990216893	359	 ribose phosphate metabolic process
GO:0032504	GO:0032504	430	186	86	702	GOBP_MULTICELLULAR_ORGANISM_REPRODUCTION	GO:BP										positive	1.32478732540838	702	 multicellular organism reproduction
GO:0032787	GO:0032787	323	69	152	544	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	GO:BP										negative	-1.56917866759618	544	 monocarboxylic acid metabolic process
GO:0044255	GO:0044255	555	130	206	891	GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	GO:BP										negative	-1.40221048074317	891	 cellular lipid metabolic process
GO:0044703	GO:0044703	515	203	108	826	GOBP_MULTI_ORGANISM_REPRODUCTIVE_PROCESS	GO:BP										positive	1.25311220064658	826	 multi organism reproductive process
GO:0048193	GO:0048193	177	26	69	272	GOBP_GOLGI_VESICLE_TRANSPORT	GO:BP										negative	-1.56050312246757	272	 golgi vesicle transport
GO:0050906	GO:0050906	202	128	14	344	GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GO:BP										positive	1.82414712249947	344	 detection of stimulus involved in sensory perception
GO:0051606	GO:0051606	279	148	24	451	GOBP_DETECTION_OF_STIMULUS	GO:BP										positive	1.58635849213926	451	 detection of stimulus
GO:0061982	GO:0061982	64	32	7	103	GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	GO:BP										positive	1.77635790236828	103	 meiosis i cell cycle process
GO:1900076	GO:1900076	33	5	20	58	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	GO:BP										negative	-1.73353587771408	58	 regulation of cellular response to insulin stimulus
hsa04146	hsa04146	44	5	24	73	Peroxisome	CP:KEGG										negative	-1.79920582374097	73	Peroxisome
hsa04640	hsa04640	51	24	5	80	Hematopoietic cell lineage	CP:KEGG										positive	1.69405213090221	80	Hematopoietic cell lineage
hsa04740	hsa04740	163	91	9	263	Olfactory transduction	CP:KEGG										positive	1.82690080350871	263	Olfactory transduction
R-HSA-3247509	R-HSA-3247509	138	33	74	245	Chromatin modifying enzymes	CP:REACTOME										negative	-1.54357907242584	245	Chromatin modifying enzymes
R-HSA-373076	R-HSA-373076	171	66	17	254	Class A/1 (Rhodopsin-like receptors)	CP:REACTOME										positive	1.51060240830391	254	Class a/1 (rhodopsin-like receptors)
R-HSA-556833	R-HSA-556833	435	87	147	669	Metabolism of lipids	CP:REACTOME										negative	-1.36083047870673	669	Metabolism of lipids
R-HSA-927802	R-HSA-927802	69	6	35	110	Nonsense-Mediated Decay (NMD)	CP:REACTOME										negative	-1.7065495117991	110	Nonsense-mediated decay (nmd)
WP2446	WP2446	47	29	3	79	Retinoblastoma gene in cancer	CP:WIKIPATHWAYS										positive	1.88074744865461	79	Retinoblastoma gene in cancer
WP2849	WP2849	35	13	4	52	Hematopoietic stem cell differentiation	CP:WIKIPATHWAYS										positive	1.86089580834824	52	Hematopoietic stem cell differentiation
WP3591	WP3591	19	11	1	31	Sleep regulation	CP:WIKIPATHWAYS										positive	1.89412292823994	31	Sleep regulation
WP455	WP455	134	53	13	200	GPCRs, class A rhodopsin-like	CP:WIKIPATHWAYS										positive	1.58695637963183	200	Gpcrs, class a rhodopsin-like
