source	target	interaction	weight	correlation
1	MEred	MEgrey60	contains	0.903175628021107	positive
2	MEblack	MEgrey60	contains	0.734567184313113	positive
3	MEturquoise	MEgrey60	contains	0.805250080366916	positive
4	MEgreen	MEgrey60	contains	0.627677655800123	positive
5	MEsalmon	MEgrey60	contains	0.637430858263301	positive
6	MEcyan	MEgrey60	contains	0.672268111522379	positive
7	MEyellow	MEgrey60	contains	0.556121849157656	positive
8	MElightyellow	MEgrey60	contains	0.533789663198952	positive
9	MEtan	MEgrey60	contains	0.595534988045062	negative
10	MEbrown	MEgrey60	contains	0.756592966544905	negative
11	MEblue	MEgrey60	contains	0.947058976326629	negative
12	MEgrey60	MEred	contains	0.903175628021107	positive
13	MEblack	MEred	contains	0.790632490953619	positive
14	MEturquoise	MEred	contains	0.591148641712186	positive
15	MEgreen	MEred	contains	0.847020012327802	positive
16	MEsalmon	MEred	contains	0.768622971336221	positive
17	MEcyan	MEred	contains	0.677442307601033	positive
18	MElightyellow	MEred	contains	0.505875087654373	positive
19	MEmidnightblue	MEred	contains	0.567033163110859	positive
20	MElightcyan	MEred	contains	0.540564891930549	negative
21	MEtan	MEred	contains	0.570203093294048	negative
22	MEbrown	MEred	contains	0.543251704377417	negative
23	MEblue	MEred	contains	0.893329056274134	negative
24	MEgrey60	MEblack	contains	0.734567184313113	positive
25	MEred	MEblack	contains	0.790632490953619	positive
26	MEgreen	MEblack	contains	0.821005440999947	positive
27	MEsalmon	MEblack	contains	0.666599328118133	positive
28	MEcyan	MEblack	contains	0.767758912771161	positive
29	MElightyellow	MEblack	contains	0.876816184218446	positive
30	MEmidnightblue	MEblack	contains	0.531480450460562	positive
31	MElightcyan	MEblack	contains	0.564936812896271	negative
32	MEblue	MEblack	contains	0.74106935134576	negative
33	MEgrey60	MEturquoise	contains	0.805250080366916	positive
34	MEred	MEturquoise	contains	0.591148641712186	positive
35	MEyellow	MEturquoise	contains	0.813680866222218	positive
36	MEtan	MEturquoise	contains	0.55427209401965	negative
37	MEbrown	MEturquoise	contains	0.981562586470144	negative
38	MEblue	MEturquoise	contains	0.841175672278169	negative
39	MEgrey60	MEgreen	contains	0.627677655800123	positive
40	MEred	MEgreen	contains	0.847020012327802	positive
41	MEblack	MEgreen	contains	0.821005440999947	positive
42	MEsalmon	MEgreen	contains	0.708537772872699	positive
43	MEcyan	MEgreen	contains	0.582018930692884	positive
44	MElightyellow	MEgreen	contains	0.564056797040364	positive
45	MEmidnightblue	MEgreen	contains	0.86581693515225	positive
46	MElightcyan	MEgreen	contains	0.622192761499763	negative
47	MEblue	MEgreen	contains	0.640529791858621	negative
48	MEgrey60	MEsalmon	contains	0.637430858263301	positive
49	MEred	MEsalmon	contains	0.768622971336221	positive
50	MEblack	MEsalmon	contains	0.666599328118133	positive
51	MEgreen	MEsalmon	contains	0.708537772872699	positive
52	MEcyan	MEsalmon	contains	0.756453132153484	positive
53	MEtan	MEsalmon	contains	0.696790784174068	negative
54	MEblue	MEsalmon	contains	0.731807970102494	negative
55	MEgrey60	MEcyan	contains	0.672268111522379	positive
56	MEred	MEcyan	contains	0.677442307601033	positive
57	MEblack	MEcyan	contains	0.767758912771161	positive
58	MEgreen	MEcyan	contains	0.582018930692884	positive
59	MEsalmon	MEcyan	contains	0.756453132153484	positive
60	MElightyellow	MEcyan	contains	0.6901630386165	positive
61	MEtan	MEcyan	contains	0.731736033212844	negative
62	MEblue	MEcyan	contains	0.699216776590673	negative
63	MEgrey60	MEyellow	contains	0.556121849157656	positive
64	MEturquoise	MEyellow	contains	0.813680866222218	positive
65	MEbrown	MEyellow	contains	0.821840355848298	negative
66	MEblue	MEyellow	contains	0.682320896775279	negative
67	MEgrey60	MElightyellow	contains	0.533789663198952	positive
68	MEred	MElightyellow	contains	0.505875087654373	positive
69	MEblack	MElightyellow	contains	0.876816184218446	positive
70	MEgreen	MElightyellow	contains	0.564056797040364	positive
71	MEcyan	MElightyellow	contains	0.6901630386165	positive
72	MElightcyan	MElightyellow	contains	0.574985458957021	negative
73	MEred	MEmidnightblue	contains	0.567033163110859	positive
74	MEblack	MEmidnightblue	contains	0.531480450460562	positive
75	MEgreen	MEmidnightblue	contains	0.86581693515225	positive
76	MElightcyan	MEmidnightblue	contains	0.514527776675298	negative
77	MEred	MElightcyan	contains	0.540564891930549	negative
78	MEblack	MElightcyan	contains	0.564936812896271	negative
79	MEgreen	MElightcyan	contains	0.622192761499763	negative
80	MElightyellow	MElightcyan	contains	0.574985458957021	negative
81	MEmidnightblue	MElightcyan	contains	0.514527776675298	negative
82	MEgrey60	MEtan	contains	0.595534988045062	negative
83	MEred	MEtan	contains	0.570203093294048	negative
84	MEturquoise	MEtan	contains	0.55427209401965	negative
85	MEsalmon	MEtan	contains	0.696790784174068	negative
86	MEcyan	MEtan	contains	0.731736033212844	negative
87	MEblue	MEtan	contains	0.644263863864532	positive
88	MEgrey60	MEbrown	contains	0.756592966544905	negative
89	MEred	MEbrown	contains	0.543251704377417	negative
90	MEturquoise	MEbrown	contains	0.981562586470144	negative
91	MEyellow	MEbrown	contains	0.821840355848298	negative
92	MEblue	MEbrown	contains	0.804884776887896	positive
93	MEgrey60	MEblue	contains	0.947058976326629	negative
94	MEred	MEblue	contains	0.893329056274134	negative
95	MEblack	MEblue	contains	0.74106935134576	negative
96	MEturquoise	MEblue	contains	0.841175672278169	negative
97	MEgreen	MEblue	contains	0.640529791858621	negative
98	MEsalmon	MEblue	contains	0.731807970102494	negative
99	MEcyan	MEblue	contains	0.699216776590673	negative
100	MEyellow	MEblue	contains	0.682320896775279	negative
101	MEtan	MEblue	contains	0.644263863864532	positive
102	MEbrown	MEblue	contains	0.804884776887896	positive
