id	group
1	GO:0006082	GO:BP
2	GO:0006091	GO:BP
3	GO:0006631	GO:BP
4	GO:0006888	GO:BP
5	GO:0006890	GO:BP
6	GO:0007186	GO:BP
7	GO:0007600	GO:BP
8	GO:0007606	GO:BP
9	GO:0007608	GO:BP
10	GO:0008610	GO:BP
11	GO:0016054	GO:BP
12	GO:0019637	GO:BP
13	GO:0019693	GO:BP
14	GO:0032504	GO:BP
15	GO:0032787	GO:BP
16	GO:0044255	GO:BP
17	GO:0044703	GO:BP
18	GO:0048193	GO:BP
19	GO:0050906	GO:BP
20	GO:0051606	GO:BP
21	GO:0061982	GO:BP
22	GO:1900076	GO:BP
23	hsa04146	CP:KEGG
24	hsa04640	CP:KEGG
25	hsa04740	CP:KEGG
26	R-HSA-3247509	CP:REACTOME
27	R-HSA-373076	CP:REACTOME
28	R-HSA-556833	CP:REACTOME
29	R-HSA-927802	CP:REACTOME
30	WP2446	CP:WIKIPATHWAYS
31	WP2849	CP:WIKIPATHWAYS
32	WP3591	CP:WIKIPATHWAYS
33	WP455	CP:WIKIPATHWAYS
34	WP477	CP:WIKIPATHWAYS
