logFC	AveExpr	t	P.Value	adj.P.Val	B	entrez_id	names	condition	id	up-sig	down-sig	not-changed	total	description	source	NES_score	setSize	NES_score_condition
406915	7.04921847826982	10.2262989638219	22.9919796956808	4.9981377039065e-20	8.54931454253207e-16	34.8159858291258	406915	406915	1										
26805	-4.22913091640592	6.65767599055399	-20.9181196353268	6.49175243094206e-19	4.60816716329452e-15	32.5347342608155	26805	26805	2										
26787	-3.69152404255693	6.17945600155959	-20.7488399392173	8.0821405962488e-19	4.60816716329452e-15	32.3372690814399	26787	26787	2										
692196	-3.64220895150961	6.33222665620683	-20.5249667898354	1.08251918556397e-18	4.62912266726791e-15	32.073352473311	692196	692196	2										
692233	-5.14194651546686	8.42494123106246	-17.7585125327659	5.13530568576136e-17	1.75678807509896e-13	28.5302100239724	692233	692233	2										
692206	-4.29987373477943	6.72531108016175	-17.560590636754	6.89961609266372e-17	1.96696555441688e-13	28.2550458102589	692206	692206	2										
9302	-2.8527461798048	5.93776100002909	-16.9114458883516	1.8540307014577e-16	4.40067234454553e-13	27.3302857487821	9302	9302	2										
619567	-4.22186616372528	6.59711590773527	-16.8440185230233	2.05819226871466e-16	4.40067234454553e-13	27.2322250687947	619567	619567	2										
692213	-4.59289749529824	8.68592370280158	-16.2903854798823	4.91746717194105e-16	9.34591955289463e-13	26.412315006304	692213	692213	2										
6090	-4.21484227120982	12.2820656691793	-15.8156224373946	1.05808343094852e-15	1.68051932449823e-12	25.6876417087688	6090	6090	2										
84546	-4.70664173162133	8.37797355094732	-15.8026667492605	1.08071982282844e-15	1.68051932449823e-12	25.6675793862062	84546	84546	2										
26807	-4.88705042266439	8.47391804815362	-15.5571722843845	1.61831307039235e-15	2.30677042242176e-12	25.2844855366267	26807	26807	2										
692106	-4.54491412847179	9.18329978639316	-15.1581612831594	3.15363932533182e-15	4.14946158921544e-12	24.6497136378758	692106	692106	2										
26795	-3.49632627638604	6.36561004724848	-14.6568719374284	7.43778621438406e-15	9.08738094264567e-12	23.8303115267167	26795	26795	2										
692210	-4.98477885342417	7.86728537842847	-14.5779804481349	8.53071595634365e-15	9.18267064964372e-12	23.699075120196	692210	692210	2										
26817	-4.98406431205298	8.10919980313267	-14.5544611922701	8.88759497030942e-15	9.18267064964372e-12	23.6598287487065	26817	26817	2										
26810	-4.83312516724554	7.73937045018055	-14.539266685985	9.12630231183533e-15	9.18267064964372e-12	23.6344439333457	26810	26810	2										
26776	-3.570407404199	7.53725673268617	-14.4665038318108	1.03644183471559e-14	9.8490764348945e-12	23.5125560904231	26776	26776	2										
26813	-4.98196279573406	7.93935026546958	-14.4218651527481	1.12084496759846e-14	1.00905543004061e-11	23.4375122234527	26813	26813	2										
677850	-4.14994932580344	7.64080406922338	-14.2595852715683	1.49222515376035e-14	1.27622556275354e-11	23.162967813589	677850	677850	2										
116937	-4.13804886999157	7.54070362551983	-14.2211634292476	1.59742029073732e-14	1.301136860622e-11	23.0975662326792	116937	116937	2										
6086	-5.01875279110841	11.5676791707872	-14.1303621189497	1.87749362910702e-14	1.45975129663071e-11	22.9423916375839	6086	6086	2										
692200	-5.06602895863295	10.8309031854153	-14.0987587683132	1.98644979195651e-14	1.47731407353983e-11	22.8881803206619	692200	692200	2										
692208	-4.64674628348611	9.7760576746858	-13.9115013489143	2.78034137176114e-14	1.9815724651656e-11	22.5647985452919	692208	692208	2										
692225	-5.93397376848164	8.480988886144	-13.8783949315482	2.95166946707421e-14	2.01953224937218e-11	22.5072376149584	692225	692225	2										
4719	-3.2305711431399	6.87265605060858	-13.8071699804084	3.35812168778681e-14	2.20925659498436e-11	22.3830029329443	4719	4719	2										
692234	-3.68613570429351	6.9719826065872	-13.7059625649547	4.03723058807491e-14	2.55766034107486e-11	22.2055304164674	692234	692234	2										
2209	3.54095273142256	7.1355223226435	13.5646180171171	5.23035563795725e-14	3.19518689954496e-11	21.9558123912015	2209	2209	1										
9301	-3.4674663308904	6.63167060557125	-13.4559208112873	6.39142518294863e-14	3.76983888808056e-11	21.7622832820355	9301	9301	2										
641648	-2.66057041047901	5.92938872942863	-13.3533188730851	7.7314061518148e-14	4.40819007422641e-11	21.5784070443376	641648	641648	2										
594837	-3.5645910506617	6.53627735183693	-13.1988605693513	1.03176044467895e-13	5.69298787297852e-11	21.2993803036618	594837	594837	2										
619498	-3.55931667404974	6.82054505444813	-13.1500590933733	1.13082736353063e-13	6.04462564162232e-11	21.2106629799371	619498	619498	2										
677814	-3.90266020027989	6.95231014976259	-13.0899690846959	1.26640243625313e-13	6.5641859612454e-11	21.1010533625061	677814	677814	2										
692227	-3.36204487539075	13.2333313854241	-13.0130447070401	1.46474748955214e-13	7.36897229670275e-11	20.9601365971954	692227	692227	2										
56664	-4.89923501363752	7.53649721215801	-12.9959102830781	1.51312519888617e-13	7.39485900769941e-11	20.9286562122939	56664	56664	2										
5527	-2.88335112737439	9.73609366123595	-12.9664260988118	1.60025711561861e-13	7.60344387851563e-11	20.8744073599144	5527	5527	2										
677679	-4.50589860867933	10.4112773173062	-12.8903598490864	1.84971077575447e-13	8.38553503331341e-11	20.733989342278	677679	677679	2										
26774	-3.68642579148592	6.83339515618177	-12.8866352050663	1.86290751982409e-13	8.38553503331341e-11	20.7270965382264	26774	26774	2										
692053	-3.99341487474181	6.92829186120701	-12.7668401656466	2.34333848510143e-13	1.02776422532461e-10	20.5045477426532	692053	692053	2										
4782	-5.00631917444187	9.75851626820184	-12.7411634368715	2.46195001650682e-13	1.05279137580873e-10	20.4566298214665	4782	4782	2										
693197	-3.6588563873407	10.9228756504108	-12.7125282484564	2.60153989663294e-13	1.08407100325624e-10	20.4031000576801	693197	693197	2										
594838	-4.20753936070592	10.6397543526451	-12.7006417442614	2.66185221495248e-13	1.08407100325624e-10	20.3808516277009	594838	594838	2										
9300	-2.88467802237196	6.08151990762791	-12.645443221682	2.96136855877164e-13	1.17800486506486e-10	20.2773174623696	9300	9300	2										
391059	-2.55764486457924	8.73393349699778	-12.6011601154976	3.22661402422399e-13	1.25434620191708e-10	20.1939982107043	391059	391059	2										
1645	-3.08905764448976	6.16442128096801	-12.5290813234124	3.71179051216904e-13	1.41089281579225e-10	20.057886267525	1645	1645	2										
677780	-4.79236114303372	9.99640041168739	-12.3811281880798	4.95716478750911e-13	1.84331094979007e-10	19.7765625626165	677780	677780	2										
8367	-4.03720814309195	8.46160443559938	-12.3377604046434	5.39836383945723e-13	1.96465986114715e-10	19.6936058420602	8367	8367	2										
26469	-4.14307060356124	10.7738406208181	-12.2202940213722	6.80791810351277e-13	2.42602998251221e-10	19.4677719324046	26469	26469	2										
5681	-3.66033095533575	6.97000153668554	-12.1833073439308	7.32616453032612e-13	2.51287418530359e-10	19.3963182945825	5681	5681	2										
26791	-3.42518621749959	6.7323482601558	-12.1819842686815	7.34543754838817e-13	2.51287418530359e-10	19.3937592044087	26791	26791	2										
56127	2.83133004657329	11.5828863334346	12.1684023617411	7.54632428403577e-13	2.53097797800847e-10	19.3674768077876	56127	56127	1										
692063	-3.68404782573963	7.31329838884287	-12.0538345220803	9.48282783301551e-13	3.11930327084097e-10	19.1448820352031	692063	692063	2										
26785	-4.45881616416613	8.03245227578755	-12.0269407140514	1.00073284881962e-12	3.22972365642633e-10	19.0923973343183	26785	26785	2										
677829	-3.87142172732995	10.2707526435884	-12.0166993860543	1.0214823933202e-12	3.23564006254481e-10	19.0723875146627	677829	677829	2										
6079	-3.30823094480402	6.73582844452335	-11.9910177230212	1.07548326665967e-12	3.34475295931159e-10	19.0221532432681	6079	6079	2										
65125	-2.81060229495132	8.99076497268596	-11.9709854642485	1.11963777159212e-12	3.41989358626486e-10	18.9829131079594	65125	65125	2										
388403	-2.61468397693386	10.283592466744	-11.9614224148367	1.14136952197131e-12	3.42103863834077e-10	18.9641631318539	388403	388403	2										
126129	3.88576543900478	7.70215758552086	11.9457266861441	1.17798232414666e-12	3.42103863834077e-10	18.9333645701845	126129	126129	1										
677837	-4.71177918306205	10.1214441244183	-11.9448707470359	1.18001332746042e-12	3.42103863834077e-10	18.9316841509809	677837	677837	2										
6655	-2.38620310693423	9.45773668076843	-11.9133940114267	1.2572585532113e-12	3.58423459211321e-10	18.8698247522094	6655	6655	2										
26775	-4.29113029482104	7.59525719679865	-11.8798418501831	1.34534055947592e-12	3.77246725735009e-10	18.803751774174	26775	26775	2										
677798	-3.83658090125746	9.49784061689093	-11.8707639044129	1.37024576692107e-12	3.78033126502982e-10	18.7858509655889	677798	677798	2										
595097	-4.06327824271666	10.5112308063734	-11.8469064156159	1.43798350013471e-12	3.87869849976946e-10	18.7387576452398	595097	595097	2										
26800	-4.81597991350175	7.98038599225775	-11.8358766211003	1.4704546331139e-12	3.87869849976946e-10	18.7169615794055	26800	26800	2										
6085	-3.41136979160891	11.9507590619012	-11.8347116074127	1.47392810572941e-12	3.87869849976946e-10	18.7146585040575	6085	6085	2										
692199	-4.53338429751889	10.0930691550496	-11.8080688173622	1.5557080660067e-12	4.03187673773403e-10	18.661943237043	692199	692199	2										
114599	-2.8054967668549	12.4786019902129	-11.7845933728532	1.63162889741879e-12	4.16552422244006e-10	18.6154216427635	114599	114599	2										
619571	-3.7945768418085	7.60133485758132	-11.7520263312046	1.74330995964114e-12	4.3851936558326e-10	18.5507693284816	619571	619571	2										
677805	-2.79953561828535	10.3163270160849	-11.6110805484599	2.3250461934853e-12	5.71986448913512e-10	18.2694317391296	677805	677805	2										
677792	-3.10086589917399	6.94473798258051	-11.6077928198315	2.34078055679309e-12	5.71986448913512e-10	18.262839405823	677792	677792	2										
116938	-4.17981442482678	11.3085040038821	-11.591350145064	2.42113006833026e-12	5.83287743926606e-10	18.2298492005468	116938	116938	2										
642	-3.53099121744853	7.74557525251837	-11.5501250224895	2.63528621152664e-12	6.2606348122449e-10	18.1469859781092	642	642	2										
9936	-2.99705910227294	7.75878476624979	-11.5276283292829	2.76026977404294e-12	6.46772801164445e-10	18.1016765801424	9936	9936	2										
2512	-2.69233750821875	12.8391092374675	-11.5064523999369	2.8834834517065e-12	6.66513303262699e-10	18.0589686810498	2512	2512	2										
654320	-5.18699079314619	8.78740069241315	-11.4827479055749	3.02813555820094e-12	6.90616782973694e-10	18.0110936550116	654320	654320	2										
619563	-3.86644410814423	7.20855978681341	-11.4674019522058	3.12573898592947e-12	7.03496912556889e-10	17.9800619832722	619563	619563	2										
100132247	-3.26444640301711	11.0213762285799	-11.406764063062	3.54414133956301e-12	7.87305683288639e-10	17.8571504510676	100132247	100132247	2										
170691	-4.00395312331787	6.88462984338589	-11.344357933035	4.03513711453621e-12	8.84884876206946e-10	17.7301647311046	170691	170691	2										
5827	-2.32659611498327	12.2874122835895	-11.2866575209586	4.55130702685822e-12	9.76882748588547e-10	17.612310511826	5827	5827	2										
5465	-2.97647348277175	10.874445749069	-11.2823726604969	4.59224665821195e-12	9.76882748588547e-10	17.6035415497269	5465	5465	2										
26815	-4.60416830925052	8.4313850585861	-11.2788707264676	4.62598670772712e-12	9.76882748588547e-10	17.5963730928597	26815	26815	2										
4803	-3.55431991039898	6.66128901513951	-11.2699546040327	4.71304533204258e-12	9.83129761031565e-10	17.5781146761753	4803	4803	2										
368	-2.20497555588324	7.46162841641374	-11.2112884315904	5.32945732580587e-12	1.0983176814206e-09	17.4577229264772	368	368	2										
94162	-4.49160009275124	8.48242625009695	-11.1464985492131	6.10724626733028e-12	1.24362437384148e-09	17.3242480880332	94162	94162	2										
23197	3.1130037273216	10.8949687977691	11.0974974160845	6.77230852349243e-12	1.36282749758045e-09	17.2229388490969	23197	23197	1										
619499	-3.76751988018635	6.94169837775091	-11.0829764349881	6.98335421110815e-12	1.37559129060664e-09	17.1928570222684	619499	619499	2										
100302741	-2.55203561239853	13.9198987832679	-11.0815276608293	7.00477779617404e-12	1.37559129060664e-09	17.1898542218272	100302741	100302741	2										
619562	-3.15707208112331	13.0493165500397	-11.0766771386696	7.07699699347468e-12	1.37559129060664e-09	17.179798804911	619562	619562	2										
26793	-3.02502618871612	11.1891233495044	-11.0600403810643	7.33056396781874e-12	1.40354518273901e-09	17.1452865788473	26793	26793	2										
26830	-4.48928691403489	7.87547442071463	-11.0519213871577	7.45767843732719e-12	1.40354518273901e-09	17.1284310007281	26830	26830	2										
440353	-3.18934098045264	11.580398516648	-11.0513331744805	7.46697524871381e-12	1.40354518273901e-09	17.12720949813	440353	440353	2										
55596	-2.65773795301527	10.5779712886398	-10.9994591790571	8.33550913463128e-12	1.5497704755203e-09	17.0193087994589	55596	55596	2										
81876	-2.9905856857263	11.5591951561985	-10.9693536029837	8.8865127052016e-12	1.6344494604567e-09	16.9565264780514	81876	81876	2										
